expression,reading,meaning,ChineseMeaning,tags
特有,とくゆう,"characteristic (of, peculiar (to))",特有,JLPT_1 JLPT
遂げる,とげる,"to accomplish, to achieve, to carry out",完成,JLPT_1 JLPT
年頃,としごろ,"age, marriageable age, adolescence",年紀,JLPT_1 JLPT
戸締り,とじまり,"closing up, locking the doors",鎖門,JLPT_1 JLPT
途上,とじょう,"en/in route, half way",途中,JLPT_1 JLPT
土台,どだい,"foundation, base, basis",基礎,JLPT_1 JLPT
途絶える,とだえる,"to stop, to cease, to come to an end",中斷,JLPT_1 JLPT
特許,とっきょ,"special permission, patent",專利,JLPT_1 JLPT
特権,とっけん,"privilege, special right",特權,JLPT_1 JLPT
とっさに,とっさに,at once,瞬間,JLPT_1 JLPT
突如,とつじょ,"suddenly, all of a sudden",突然,JLPT_1 JLPT
とって,とって,"handle, grip, knob",把手,JLPT_1 JLPT
突破,とっぱ,"breaking through, breakthrough, penetration",突破,JLPT_1 JLPT
土手,どて,"embankment, bank",堤防,JLPT_1 JLPT
届,とどけ,"report, notification, registration",報告,JLPT_1 JLPT
滞る,とどこおる,"to stagnate, to be delayed",滯留,JLPT_1 JLPT
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",整理,JLPT_1 JLPT
止める,とどめる,"to end, to stop, to cease, to resign",停止,JLPT_1 JLPT
唱える,となえる,"to recite, to chant, to call upon",誦唸,JLPT_1 JLPT
殿様,とのさま,feudal lord,殿下,JLPT_1 JLPT
土俵,どひょう,arena,土俵,JLPT_1 JLPT
扉,とびら,"door, opening",門扉,JLPT_1 JLPT
溝,どぶ,"ditch, drain, gap",溝渠,JLPT_1 JLPT
徒歩,とほ,"walking, going on foot",步行,JLPT_1 JLPT
土木,どぼく,public works,土木,JLPT_1 JLPT
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",裝傻,JLPT_1 JLPT
乏しい,とぼしい,"meager, scarce, hard up, poor",缺乏的,JLPT_1 JLPT
富,とみ,"wealth, fortune",財富,JLPT_1 JLPT
富む,とむ,"to be rich, to become rich",富有,JLPT_1 JLPT
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",夫妻同工,JLPT_1 JLPT
伴う,ともなう,"to accompany, to bring with",伴隨,JLPT_1 JLPT
共働き,ともばたらき,dual income (husband and wife both working),夫妻共同工作,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
ドライ,ドライ,dry,乾燥,JLPT_1 JLPT
ドライクリーニング,ドライクリーニング,dry cleaning,乾洗,JLPT_1 JLPT
ドライバー,ドライバー,"driver, screwdriver",司機、螺絲起子,JLPT_1 JLPT
ドライブイン,ドライブイン,drive in,免下車服務,JLPT_1 JLPT
トラブル,トラブル,trouble (sometimes used as a verb),麻煩,JLPT_1 JLPT
トランジスター,トランジスター,transistor,電晶體,JLPT_1 JLPT
とりあえず,とりあえず,"at once, first of all, for the time being",首先,JLPT_1 JLPT
取扱,とりあつかい,"treatment, handling, management",處理,JLPT_1 JLPT
取り扱う,とりあつかう,"to treat, to handle, to deal in",處理,JLPT_1 JLPT
鳥居,とりい,Shinto shrine archway,鳥居,JLPT_1 JLPT
取り替え,とりかえ,"swap, exchange",更換,JLPT_1 JLPT
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",從事,JLPT_1 JLPT
取締り,とりしまり,"control, crackdown, supervision",取締,JLPT_1 JLPT
取り締まる,とりしまる,"to crack down, to control, to supervise",取締,JLPT_1 JLPT
取り調べる,とりしらべる,"to investigate, to examine",調查,JLPT_1 JLPT
取り立てる,とりたてる,"to collect, to extort",催收,JLPT_1 JLPT
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",轉達,JLPT_1 JLPT
取り付ける,とりつける,"to furnish, to install; to get someone's agreement",安裝,JLPT_1 JLPT
取り除く,とりのぞく,"to remove, to take away, to set apart",除去,JLPT_1 JLPT
取引,とりひき,"transactions, dealings, business",交易,JLPT_1 JLPT
取り巻く,とりまく,"to surround, to circle, to enclose",包圍,JLPT_1 JLPT
取り混ぜる,とりまぜる,"to mix, to put together",混合,JLPT_1 JLPT
取り戻す,とりもどす,"to take back, to regain",取回,JLPT_1 JLPT
取り寄せる,とりよせる,"to order, to send away for",訂購,JLPT_1 JLPT
ドリル,ドリル,drill,鑽頭,JLPT_1 JLPT
副,とりわけ,"especially, above all",特別是,JLPT_1 JLPT
とろける,とろける,melt; to be enchanted with,融化,JLPT_1 JLPT
鈍感,どんかん,"thickheadedness, stolidity",遲鈍,JLPT_1 JLPT
とんだ,とんだ,"terrible, awful, serious, absolutely not",糟糕的,JLPT_1 JLPT
度忘れ,どわすれ,"lapse of memory, forget for a moment",一時忘記,JLPT_1 JLPT
問屋,とんや,wholesale store,批發商,JLPT_1 JLPT
内閣,ないかく,"cabinet, (government)",內閣,JLPT_1 JLPT
乃至,ないし,"from...to, between...and, or",至,JLPT_1 JLPT
内緒,ないしょ,"secrecy, privacy, secret",秘密,JLPT_1 JLPT
内心,ないしん,"innermost thoughts, real intention, inmost heart",內心,JLPT_1 JLPT
内蔵,ないぞう,internal organ; built-in,內藏,JLPT_1 JLPT
ナイター,ナイター,"game under lights (e.g., baseball), night game",夜間比賽,JLPT_1 JLPT
内部,ないぶ,"interior, inside, internal",內部,JLPT_1 JLPT
内乱,ないらん,"civil war, domestic conflict",內亂,JLPT_1 JLPT
内陸,ないりく,inland,內陸,JLPT_1 JLPT
苗,なえ,rice seedling,幼苗,JLPT_1 JLPT
なおさら,なおさら,"all the more, still less",更加,JLPT_1 JLPT
流し,ながし,sink,水槽,JLPT_1 JLPT
長々,ながなが,"long, drawn-out, very long",冗長,JLPT_1 JLPT
中程,なかほど,"middle, midway",中途,JLPT_1 JLPT
渚,なぎさ,"water's edge, beach, shore",海濱,JLPT_1 JLPT
嘆く,なげく,"to sigh, to lament, to grieve",嘆息,JLPT_1 JLPT
投げ出す,なげだす,"to abandon, to throw out",拋棄,JLPT_1 JLPT
仲人,なこうど,"go-between, matchmaker",媒人,JLPT_1 JLPT
和やか,なごやか,"mild, calm, harmonious",和諧,JLPT_1 JLPT
名残,なごり,"remains, traces, memory",餘韻,JLPT_1 JLPT
情け,なさけ,"sympathy, compassion",同情,JLPT_1 JLPT
情無い,なさけない,"miserable, pitiable, shameful",可憐,JLPT_1 JLPT
情深い,なさけぶかい,"tender-hearted, compassionate",有情義的,JLPT_1 JLPT
詰る,なじる,"to rebuke, to scold, to tell off",譴責,JLPT_1 JLPT
名高い,なだかい,"famous, celebrated, well-known",著名的,JLPT_1 JLPT
雪崩,なだれ,avalanche,雪崩,JLPT_1 JLPT
懐く,なつく,to become emotionally attached,依戀,JLPT_1 JLPT
名付ける,なづける,to name,命名,JLPT_1 JLPT
何気ない,なにげない,"casual, unconcerned",不經意的,JLPT_1 JLPT
なにとぞ,なにとぞ,"please, kindly, by all means",請務必,JLPT_1 JLPT
なにより,なにより,"most, best",最重要的,JLPT_1 JLPT
ナプキン,ナプキン,napkin,餐巾紙,JLPT_1 JLPT
名札,なふだ,"name plate, name tag",姓名牌,JLPT_1 JLPT
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",腥味,JLPT_1 JLPT
生温い,なまぬるい,"lukewarm, halfhearted",溫熱的,JLPT_1 JLPT
生身,なまみ,"living flesh, flesh and blood, the quick",活體,JLPT_1 JLPT
鉛,なまり,lead (the metal),鉛,JLPT_1 JLPT
滑らか,なめらか,"smoothness, glassiness",滑順,JLPT_1 JLPT
嘗める,なめる,to lick; to experience; to make fun of,舔,JLPT_1 JLPT
悩ましい,なやましい,"seductive, melancholy, languid",煩惱的,JLPT_1 JLPT
悩ます,なやます,"to bother, to harass, to molest",煩擾,JLPT_1 JLPT
悩み,なやみ,"trouble(s), worry, distress",煩惱,JLPT_1 JLPT Genki_Ln.19 Genki
並びに,ならびに,and,以及,JLPT_1 JLPT
成り立つ,なりたつ,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true",成立,JLPT_1 JLPT
なるたけ,なるたけ,"as much as possible, if possible",盡量,JLPT_1 JLPT
慣れ,なれ,"practice, experience",習慣,JLPT_1 JLPT
馴々しい,なれなれしい,"familiar, make free with",親暱的,JLPT_1 JLPT
ナンセンス,ナンセンス,nonsense,無意義,JLPT_1 JLPT
何だか,なんだか,"a little, somewhat, somehow",有點,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11
なんだかんだ,なんだかんだ,something or other,這樣那樣,JLPT_1 JLPT
なんなり,なんなり,"anything, whatever",任何,JLPT_1 JLPT
荷,に,"load, baggage, cargo",行李,JLPT_1 JLPT
似通う,にかよう,to resemble closely,相似,JLPT_1 JLPT
にきび,にきび,"pimple, acne",青春痘,JLPT_1 JLPT
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people",熱鬧,JLPT_1 JLPT
憎しみ,にくしみ,hatred,憎恨,JLPT_1 JLPT
肉親,にくしん,"blood relationship, blood relative",親屬,JLPT_1 JLPT
肉体,にくたい,"the body, the flesh",肉體,JLPT_1 JLPT
逃げ出す,にげだす,"to run away, to escape from",逃跑,JLPT_1 JLPT
西日,にしび,westering sun,西照陽光,JLPT_1 JLPT
滲む,にじむ,"to run, to blur, to spread",滲透,JLPT_1 JLPT
にせ物,にせもの,"imitation, counterfeit",偽品,JLPT_1 JLPT
日夜,にちや,"day and night, always",日夜,JLPT_1 JLPT
荷造り,にづくり,"packing, baling, crating",打包,JLPT_1 JLPT
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)",承擔,JLPT_1 JLPT
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",遲鈍,JLPT_1 JLPT
にも関わらず,にもかかわらず,"in spite of, nevertheless",儘管如此,JLPT_1 JLPT
ニュアンス,ニュアンス,nuance,微妙差異,JLPT_1 JLPT
ニュー,ニュー,new,新的,JLPT_1 JLPT
入手,にゅうしゅ,"obtaining, coming to hand",入手,JLPT_1 JLPT
入賞,にゅうしょう,winning a prize or place (in a contest,獲獎,JLPT_1 JLPT
入浴,にゅうよく,"bathe, bathing",洗澡,JLPT_1 JLPT
尿,にょう,urine,尿液,JLPT_1 JLPT
認識,にんしき,"recognition, cognizance",認識,JLPT_1 JLPT
妊娠,にんしん,"conception, pregnancy",懷孕,JLPT_1 JLPT
任務,にんむ,"duty, mission, task",任務,JLPT_1 JLPT
任命,にんめい,"appointment, nomination, ordination",任命,JLPT_1 JLPT
抜かす,ぬかす,"to omit, to leave out",省略,JLPT_1 JLPT
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",溜出,JLPT_1 JLPT
主,ぬし,"owner, master, god",主人,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese
沼,ぬま,"swamp, bog, pond",沼澤,JLPT_1 JLPT
音色,ねいろ,"tone color, timbre",音色,JLPT_1 JLPT
値打ち,ねうち,"value, worth, price",價值,JLPT_1 JLPT
ネガ,ネガ,(photographic) negative,底片,JLPT_1 JLPT
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",讓睡覺,JLPT_1 JLPT
ねじまわし,ねじまわし,screwdriver,螺絲起子,JLPT_1 JLPT
捩れる,ねじれる,"twist, strain",扭曲,JLPT_1 JLPT
妬む,ねたむ,"to be jealous, to be envious",嫉妒,JLPT_1 JLPT
ねだる,ねだる,"to nag, to demand",糾纏,JLPT_1 JLPT
熱意,ねつい,"zeal, enthusiasm",熱情,JLPT_1 JLPT
熱湯,ねっとう,boiling water,熱水,JLPT_1 JLPT
熱量,ねつりょう,calorific value,熱量,JLPT_1 JLPT
粘り,ねばり,"stickiness, viscosity",黏性,JLPT_1 JLPT
粘る,ねばる,"to be sticky, to be adhesive, to persist, to stick to",堅持,JLPT_1 JLPT
値引き,ねびき,"price reduction, discount",降價,JLPT_1 JLPT
根回し,ねまわし,making necessary arrangements,事前協調,JLPT_1 JLPT
眠たい,ねむたい,sleepy,想睡,JLPT_1 JLPT
練る,ねる,"to knead, to work over, to polish up",揉、練習,JLPT_1 JLPT
念,ねん,"sense, feeling, desire",念頭,JLPT_1 JLPT
年賀,ねんが,"New Year's greetings, New Year's card",賀年,JLPT_1 JLPT
念願,ねんがん,"one's heart's desire, earnest petition",願望,JLPT_1 JLPT
年号,ねんごう,"name of an era, year number",年號,JLPT_1 JLPT
燃焼,ねんしょう,"burning, combustion",燃燒,JLPT_1 JLPT
年長,ねんちょう,seniority,年長,JLPT_1 JLPT
燃料,ねんりょう,fuel,燃料,JLPT_1 JLPT
年輪,ねんりん,annual tree ring,年輪,JLPT_1 JLPT
ノイローゼ,ノイローゼ,neurosis (GER: Neurose),神經官能症,JLPT_1 JLPT
農耕,のうこう,"farming, agriculture",農耕,JLPT_1 JLPT
農場,のうじょう,farm,農場,JLPT_1 JLPT
農地,のうち,agricultural land,農地,JLPT_1 JLPT
納入,のうにゅう,"payment, supply",納入,JLPT_1 JLPT
逃す,のがす,"to let loose, to set free, to let escape",逃脫,JLPT_1 JLPT
逃れる,のがれる,to escape,逃脫,JLPT_1 JLPT
軒並,のきなみ,row of houses; uniformly,一律,JLPT_1 JLPT
望ましい,のぞましい,"desirable, hoped for",理想的,JLPT_1 JLPT
乗っ取る,のっとる,"to capture, to occupy, to take over",劫持,JLPT_1 JLPT
のどか,のどか,"tranquil, calm, quiet",悠閒,JLPT_1 JLPT
罵る,ののしる,"to speak ill of, to abuse",辱罵,JLPT_1 JLPT
延べ,のべ,"futures, credit (buying), stretching, total",總計,JLPT_1 JLPT
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",吞下、理解,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese
乗り込む,のりこむ,"to board, to get into (a car); to march into, to enter",搭乘,JLPT_1 JLPT
刃,は,"blade, sword",刀刃,JLPT_1 JLPT
バー,バー,bar,酒吧,JLPT_1 JLPT
把握,はあく,"grasp, catch, understanding",掌握,JLPT_1 JLPT
パート,パート,part-time job,兼職,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
廃棄,はいき,"disposal, abandon, discarding",廢棄,JLPT_1 JLPT
配給,はいきゅう,"distribution (e.g., films, rice",配給,JLPT_1 JLPT
ばい菌,ばいきん,"bacteria, germ(s)",細菌,JLPT_1 JLPT
配偶者,はいぐうしゃ,spouse,配偶者,JLPT_1 JLPT
拝啓,はいけい,-- a formal greeting used at the beginning of a letter --,敬啟者,Intermediate_Japanese_Ln.4 JLPT_1 JLPT Intermediate_Japanese
背景,はいけい,"background, scenery, setting",背景,JLPT_1 JLPT
背後,はいご,"back, rear",背後,JLPT_1 JLPT
廃止,はいし,"abolition, repeal",廢止,JLPT_1 JLPT
拝借,はいしゃく,(humble) (polite) borrowing,借用,JLPT_1 JLPT
排除,はいじょ,"exclusion, removal, rejection",排除,JLPT_1 JLPT
賠償,ばいしょう,"reparations, indemnity, compensation",賠償,JLPT_1 JLPT
排水,はいすい,drainage,排水,JLPT_1 JLPT
敗戦,はいせん,"defeat, losing a war",戰敗,JLPT_1 JLPT
配置,はいち,"arrangement (of resources), disposition",配置,JLPT_1 JLPT
配布,はいふ,distribution,分發,JLPT_1 JLPT
配分,はいぶん,"distribution, allotment",分配,JLPT_1 JLPT
敗北,はいぼく,defeat (as a verb it means 'to be defeated'),敗北,JLPT_1 JLPT
倍率,ばいりつ,"diameter, magnification",倍率,JLPT_1 JLPT
配慮,はいりょ,"consideration, concern, forethought",考慮,JLPT_1 JLPT
配列,はいれつ,"arrangement, array (programming)",排列,JLPT_1 JLPT
破壊,はかい,destruction,破壞,JLPT_1 JLPT
いたわる,いたわる,"to sympathize with, to console, to care for",關懷,JLPT_1 JLPT
一概に,いちがいに,"unconditionally, necessarily",一概,JLPT_1 JLPT
著しい,いちじるしい,"remarkable, considerable",顯著的,JLPT_1 JLPT
一同,いちどう,"all present, all concerned, all of us",全體,JLPT_1 JLPT
一部分,いちぶぶん,"a part, a portion",一部分,JLPT_1 JLPT
一別,いちべつ,parting,一別,JLPT_1 JLPT
一面,いちめん,"one side, the other hand",一面,JLPT_1 JLPT
一目,いちもく,"a glance, a look, a glimpse",一瞥,JLPT_1 JLPT
一様,いちよう,"uniform, similar, equal",一樣,JLPT_1 JLPT
一律,いちりつ,"even, uniform, equal",一律,JLPT_1 JLPT
一連,いちれん,"a series, a chain, a ream (of paper)",一連,JLPT_1 JLPT
一括,いっかつ,"all together, batch",一括,JLPT_1 JLPT
一気,いっき,"at one push, in one gulp",一口氣,JLPT_1 JLPT
一挙に,いっきょに,"at a stroke, with a single swoop",一舉,JLPT_1 JLPT
一見,いっけん,"a look, a glimpse, glance; first meeting",乍看,JLPT_1 JLPT
一切,いっさい,"without exception, the whole",一切,JLPT_1 JLPT
一心,いっしん,"one mind, with rapt attention",一心,JLPT_1 JLPT
いっそ,いっそ,"rather, sooner, might as well",乾脆,JLPT_1 JLPT
一変,いっぺん,complete change,大變,JLPT_1 JLPT
意図,いと,"intention, aim, design",意圖,JLPT_1 JLPT
営む,いとなむ,"to carry on (e.g., in ceremony), to run a business",經營,JLPT_1 JLPT
挑む,いどむ,to challenge,挑戰,JLPT_1 JLPT
稲光,いなびかり,(flash of) lightning,閃電,JLPT_1 JLPT
祈り,いのり,"prayer, supplication",祈禱,JLPT_1 JLPT
いびき,いびき,snoring,打鼾,JLPT_1 JLPT
今更,いまさら,"now, again",現在,JLPT_1 JLPT
未だ,いまだ,"yet, still",尚未,JLPT_1 JLPT
移民,いみん,"emigrant, immigrant",移民,JLPT_1 JLPT
嫌々,いやいや,"reluctantly, by no means, unwillingly",勉強,JLPT_1 JLPT
卑しい,いやしい,"greedy, vulgar, shabby",卑鄙的,JLPT_1 JLPT
いやに,いやに,"awfully, terribly",非常,JLPT_1 JLPT
いやらしい,いやらしい,"unpleasant, disgusting, indecent",討厭的,JLPT_1 JLPT
意欲,いよく,"will, desire, ambition",意慾,JLPT_1 JLPT
威力,いりょく,"power, might, authority",威力,JLPT_1 JLPT
衣類,いるい,"clothes, clothing, garments",衣類,JLPT_1 JLPT
異論,いろん,"different opinion, objection",異議,JLPT_1 JLPT
印鑑,いんかん,"stamp, seal",印章,JLPT_1 JLPT
陰気,いんき,"gloom, melancholy",陰沈,JLPT_1 JLPT
隠居,いんきょ,retirement; retired person,隱居,JLPT_1 JLPT
インターチェンジ,インターチェンジ,interchange,交流道,JLPT_1 JLPT
インターナショナル,インターナショナル,international,國際的,JLPT_1 JLPT
インターフォン,インターフォン,"entry phone, intercom",對講機,JLPT_1 JLPT
インテリ,インテリ,"(abbr.) egghead, intelligentsia",知識分子,JLPT_1 JLPT
インフォメーション,インフォメーション,information,資訊,JLPT_1 JLPT
インフレ,インフレ,(abbr.) inflation,通膨,JLPT_1 JLPT
受かる,うかる,to pass (examination),及格,JLPT_1 JLPT
受け入れ,うけいれ,"receiving, acceptance",接受,JLPT_1 JLPT
受け入れる,うけいれる,"to accept, to receive",接受,JLPT_1 JLPT
受け継ぐ,うけつぐ,"to inherit, to succeed",繼承,JLPT_1 JLPT
受け付ける,うけつける,"to be accepted, to receive (an application)",受理,JLPT_1 JLPT
受け止める,うけとめる,"to catch, to react to, to take",接受,JLPT_1 JLPT
受身,うけみ,"passive, passive voice",被動,JLPT_1 JLPT
受持ち,うけもち,"charge (of something), matter in one's charge",負責,JLPT_1 JLPT
動き,うごき,"movement, activity, trend",動作,JLPT_1 JLPT
埋める,うずめる,"to bury, to fill",埋,JLPT_1 JLPT
嘘つき,うそつき,liar,說謊者,JLPT_1 JLPT
うたた寝,うたたね,"dozing, napping",打盹,JLPT_1 JLPT
打ち明ける,うちあける,"to confess, to be open",坦白,JLPT_1 JLPT
打ち切る,うちきる,"to stop, to abort, to discontinue, to close",中止,JLPT_1 JLPT
打ち消し,うちけし,"(gram) negation, denial, negative",否定,JLPT_1 JLPT
打ち込む,うちこむ,"to devote oneself to, to shoot into",投入,JLPT_1 JLPT
団扇,うちわ,fan,扇子,JLPT_1 JLPT
内訳,うちわけ,"the items, breakdown, classification",內容明細,JLPT_1 JLPT
写し,うつし,"copy, duplicate",複製,JLPT_1 JLPT
訴え,うったえ,"lawsuit, complaint",訴訟,JLPT_1 JLPT
うっとうしい,うっとうしい,"weary, annoying",鬱悶的,JLPT_1 JLPT
うつむく,うつむく,"to look downward, to stoop",低頭,JLPT_1 JLPT
空ろ,うつろ,"blank, hollow, empty",空虛,JLPT_1 JLPT
器,うつわ,"bowl, vessel, container",容器,JLPT_1 JLPT
腕前,うでまえ,"ability, skill, facility",技術,JLPT_1 JLPT
雨天,うてん,rainy weather,雨天,JLPT_1 JLPT
促す,うながす,"to urge, to suggest, to demand",催促,JLPT_1 JLPT
うぬぼれ,うぬぼれ,"pretension, conceit, hubris",自負,JLPT_1 JLPT
生まれつき,うまれつき,"by nature, by birth, native",天生,JLPT_1 JLPT
埋め込む,うめこむ,"to embed, implant",嵌入,JLPT_1 JLPT
梅干し,うめぼし,dried plum,梅乾,JLPT_1 JLPT
裏返し,うらがえし,"inside out, reverse",裡外顛倒,JLPT_1 JLPT
売り出し,うりだし,(bargain) sale,拍賣,JLPT_1 JLPT
売り出す,うりだす,"to put on sale, to market",上市,JLPT_1 JLPT
潤う,うるおう,to be moist; to profit by,潤濕,JLPT_1 JLPT
浮気,うわき,"affair, to cheat",外遇,JLPT_1 JLPT
上回る,うわまわる,to exceed,超過,JLPT_1 JLPT
植わる,うわる,to be planted,種植,JLPT_1 JLPT
運営,うんえい,"management, administration, operation",經營,JLPT_1 JLPT
うんざり,うんざり,"tedious, boring, being fed up with",厭煩,JLPT_1 JLPT
運送,うんそう,"shipping, freight",運送,JLPT_1 JLPT
運賃,うんちん,"freight rates, shipping expenses, (passenger) fare",運費,JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese
云々,うんぬん,"and so on, and so forth",等等,JLPT_1 JLPT
運搬,うんぱん,"transport, carriage",搬運,JLPT_1 JLPT
運命,うんめい,fate,命運,JLPT_1 JLPT
運輸,うんゆ,transportation,運輸,JLPT_1 JLPT
運用,うんよう,"making use of, application, practical use",運用,JLPT_1 JLPT
エアメール,エアメール,air mail,航空郵件,JLPT_1 JLPT
英字,えいじ,English letter (character),英文字母,JLPT_1 JLPT
映写,えいしゃ,projection,投影,JLPT_1 JLPT
